Title,latitude,longitude,Director,Release Year,Description,Location,Image File,Video link,subject,source,language,rights,rightsstatement
La Glace à trois faces,49.11743677,2.212584639,Epstein,1927,"Three women are in love with one man. An early work by Epstein, the film shows the usual techinques of camera movement and superimposition by the director. The film was shot in Paris and in the town of L'Isle-Adam by the river Oise.  ","L'Isle-Adam, Ile de France, France",,https://www.cinematheque.fr/henri/film/48377-la-glace-a-trois-faces-jean-epstein-1927/,French impressionism; photogénie; early cinema,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
La Chute de la maison Usher,48.9958879,1.888065795,Epstein,1928,"Perhaps the best known film by Epstein, La Chute de la maison Usher tells the story of Usher through his friend, an unknown narrator. The film is an adaptation of two short stories by Poe.  The film was shot in three different locations: the interior in Studios Éclair and Menchen in Épinay-sur-Seine near Paris; the exteriors in Sologne (with the river Sologne) and Vexin (a historical region in northern France).  ","Vexin, France",,https://www.cinematheque.fr/henri/film/48361-la-chute-de-la-maison-usher-jean-epstein-1928/,French impressionism; photogénie; early cinema,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
La Chute de la maison Usher,46.67873042,2.697027836,Epstein,1928,"Perhaps the best known film by Epstein, La Chute de la maison Usher tells the story of Usher through his friend, an unknown narrator. The film is an adaptation of two short stories by Poe.  The film was shot in three different locations: the interior in Studios Éclair and Menchen in Épinay-sur-Seine near Paris; the exteriors in Sologne (with the river Sologne) and Vexin (a historical region in northern France).  ","Sologne, France",,https://www.cinematheque.fr/henri/film/48361-la-chute-de-la-maison-usher-jean-epstein-1928/,French impressionism; photogénie; early cinema,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Maldone,47.74042427,2.870665319,Gremillon,1928,"Maldone is a story about a man who runs away from his estate, becomes a canal worker, and finds love, only to be called back home and marry a different woman. The film notes the waterway as the Briare Canal and its Saint-Jean lock (which does not exist; most similar is Saint Joseph lock). ","Briare Canal, Bourgogne-Franche-Comté,, France",,https://www.youtube.com/watch?v=fCWPQnFuvYE,French impressionism; early cinema; ,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
The Bridge,51.91294699,4.498389773,Ivens,1928,"This experimental documentary short is a montage of close-ups of the then-newly built Koningshaven Bridge (Koninginnebrug / ""De Hef"") in Rotterdam and the trains and ships that pass by it, in the backdrop of which is seen the port of Rotterdam. ","Rotterdam, the Netherlands",,https://archive.org/details/il-ponte-1928-joris-ivens,experimental; documentary,,silent,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Steamboat Bill Jr.,38.59803211,-121.5084873,Keaton and Reisner,1928,"Buster Keaton plays Bill Canfield Jr., or Steamboat Jr.: an awkward and eccentric son of Bill Canfield who owns a paddle steamer and is slowly losing business to a newer steamer. The film follows Bill Jr.'s visit home that is filled with mishaps but eventually helps his father and his business. The film is set to be in River Junction, MS, while Bill Jr., is based in Boston. The film production took place on a set in Sacramento; John Bengtson of silentlocations.com, crediting historian Paul Frobose, provides some shot-by-shot comparisons between map coordinates and the landmarks identified in the film (https://silentlocations.com/2011/04/18/buster-keaton-steamboat-bill-jr-locations/). Also see Jennifer Fay's discussion of the production process in The Inhospitable Planet. ","Sacramento, USA",,https://www.youtube.com/watch?v=n9QPfiLuQ9c,"comedy, early cinema, Keaton, cyclone",,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Sea Urchins,48.84226705,2.317341527,Painlevé,1929,A close-up look at sea urchins. ,"Montparnasse, Paris, France",https://i.imgur.com/6fZUNSl.jpeg,,"experimental; documentary, animal",,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Finis Terrae,48.42767085,-5.012164425,Epstein,1929,"Finis Terrae marks the beginning of Epstein's repeated visits to Brittany. The film tells the simple story of two young kelp farmers on the islet of Bannec, near Ouessant.","Bannec, Brittany, France",https://www.gaumont.com/sites/com/files/styles/max_height_710/public/2023-03/2022-05-16_vlcsnap-2019-06-05-16h58m35s186.png.webp?itok=f8QgvfFP,,French impressionism; photogénie; early cinema,https://www.gaumont.com/en/movie/finis-terrae,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Finis Terrae,48.46077326,-5.091750978,Epstein,1929,"Finis Terrae marks the beginning of Epstein's repeated visits to Brittany. The film tells the simple story of two young kelp farmers on the islet of Bannec, near Ouessant. ","Ouessant, Brittany, France",https://www.gaumont.com/sites/com/files/styles/max_height_710/public/2023-03/2022-05-16_vlcsnap-2019-06-05-16h58m35s186.png.webp?itok=f8QgvfFP,,French impressionism; photogénie; early cinema,https://www.gaumont.com/en/movie/finis-terrae,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Rain,52.38214084,6.440873913,Ivens,1929,"Regan is an experimental documentary that shows the city of Amsterdam before, during, and after a rainfall. The premiere of the film was held in De Ulitkijk, the theater of the Amsterdam Filmliga (now a hotel). ","Amsterdam, Netherlands",https://i.imgur.com/Gx3o8UY.png,,Documentary; city symphony; experimental,,dutch,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
H2O,,,Steiner,1929,"H2O is a cine-poem that shows water in its many different forms, made by photographer Ralph Steiner. ",USA,,https://www.youtube.com/watch?v=f_DiZ4R9ZxI,Documentary; experimental; photography,"National Film Registry (Library of Congress), https://www.loc.gov/item/2023600533/",silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Mor'Vran,48.04445741,-4.865491823,Epstein,1931,"Subtitled ""La Mer des corbeaux"" (sea of crows), Mor'Vran is part documentary, part fiction film that portrays the many faces of life on the islands of Sein and Brest by loosely following a sailor (and his misfortunes). ","Ile de Sein, Brittany, France",,https://www.cinematheque.fr/henri/film/54212-mor-vran-jean-epstein-1930/,Documentary; French impressionism; ,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Labor on the Douro River,"41.14256865841956, -8.623006248273285",,Oliveira,1931,"A short documentary about the laborers working in the city of Porto, around the river Douro. ","Porto, Portugal",,https://www.youtube.com/watch?v=tunZkzHaCYg,Documentary,,silent,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Surf and Seaweed,,,Steiner,1931,"Made a couple of years after H2O, Surf and Seaweed focuses on ocean tides swirling and surging, carrying seaweed and leaving marks on the soft sand. ",United States,,https://lightconemedia.org/media/14/7153.mp4,Documentary; cine-poem; experimental,"Light Cone; courtesy of MoMA, https://lightcone.org/en/film-10359-surf-and-seaweed",french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
"Jean Taris, Swimming Champion",48.86708208,2.32153554,Vigo,1931,"A short documentary about the swimmer Jean Taris, featuring Vigo's novel techniques that highlight the swimmer's moving body. It was filmed mostly at the Automobile Club of France in Paris. ","Paris, France",,https://upload.wikimedia.org/wikipedia/commons/transcoded/2/2b/Taris%2C_roi_de_l%27eau_%281931%29_par_Jean_Vigo.webm/Taris%2C_roi_de_l%27eau_%281931%29_par_Jean_Vigo.webm.1080p.vp9.webm,Documentary,,french,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
L'Or des mers,47.34205207,-2.877341879,Epstein,1932,L'or des mer tells the story of an old Breton fisherman who finds a box of treasure from a washed up shipwreck. ,"Hoëdic, Brittany, France",,https://www.cinematheque.fr/henri/film/48395-l-or-des-mers-jean-epstein-1932/,French impressionism,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Les Berceaux,48.46077326,-5.091750978,Epstein,1932,Epstein experimented with metaphors and sound in this short film featuring Sully Prudhomme's poem set to the music of Gabriel Faure,"Ouessant, Brittany, France",,https://www.cinematheque.fr/henri/film/84561-les-berceaux-jean-epstein-1932/,phonogenie; French impressionism; experimental,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Boudu Saved From Drowning,48.85835296,2.337497668,Renoir,1932,"Renoir's 1932 social satire film: Boudu, saved from drowning in River Seine by a middle class family and is given a second chance at a new life, challenges the newly learned manners and transgresses all rules. The film starts as Boudu takes a suicidal jump into the Seine from Pont des Arts. ","Paris, France",https://i.imgur.com/vbycAeY.jpeg,,social realism; satire,,french,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
The Water Magician [Taki no shiraito],36.57805604,136.6600521,Mizoguchi,1933,A young woman is a travelling performer with a water-juggling act. She falls in love with a carriage driver. The film is still occasionally shown with a live benshi narration.  ,"Kanazawa, Ishikawa, Japan",,https://www.youtube.com/watch?v=YnHt0OuMl5Q,melodrama; ,,Japanese,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
"Japanese Girls at the Harbor 港の日本娘, Minato no nihon musume",35.44877541,139.66383,Shimizu,1933,Two schoolgirls drift apart when one of them falls for a boy with a motorcycle. ,"Yokohama, Kanagawa, Japan",,https://www.youtube.com/watch?v=dsxEGOhtsu8,melodrama; ,,Japanese,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
The Seahorse,48.84226705,2.317341527,Painlevé,1933,A close look at the reproductive cycle of seahorses.,"Montparnasse, Paris, France",,https://mubi.com/en/films/the-sea-horse/trailer,documentary; science; animal,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Chanson d’Ar-mor,48.38773754,-4.485411361,Epstein,1934,"Known as the first Breton-language film in history, Chanson d'Ar-mor is a poetic story of a Breton fisherman's impossible romance.  ","Brest, Brittany, France",,https://www.cinematheque.fr/henri/film/48313-chanson-d-armor-jean-epstein-1934/,French impressionism; photogenie; ,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",Breton,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Man of Aran,53.12894614,-9.719462094,Flaherty,1934,"Man of Aran is a fictional documentary about the people living on the Aran Islands off the western coast of Ireland. Much of the film is a fabrication: for example, the family members are unrelated; the fishermen were not in danger. ","Inishmore, Aran Islands, Ireland",,https://www.youtube.com/watch?v=Cwmc05qW0xc,Documentary; ethnography; surrealism,,"English, Irish",Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
L’Atlante,48.886111,2.375,Vigo,1934,Jean and Juliette's story. One can see the face of one's true love in the water.,"Bassin de la Villette, Paris, France",,https://www.youtube.com/watch?v=Bg2_T50WAm8,French impressionism; photogenie; ,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
By the Bluest of Seas,40.37164726,50.37437607,Barnet,1935,A romantic comedy about a love triangle in an enchanted Soviet Azerbaijani island in the Caspian Sea,"Caspian Sea, Azerbaijan",,https://www.youtube.com/watch?v=OeQJAt521-I,"Drama, Musical, romantic comedy",,Russian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
La Bretagne,48.11338351,-1.681579968,Epstein,1936,Documetary about Breton culture,"Rennes, Brittany",,,documentary,,Breton,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
The Wave (Redes),18.76642795,-95.75784345,Muriel and Zinneman,1936,Story about the fishing community of Alvarado on the Gulf Coast of Mexico,"Alvarado, Veracruz, Mexico",,,neorealism; non-professional cast,,Spanish,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
A Day in the Country,48.32659183,2.749298585,Renoir,1936,A city family from Paris goes on a picnic to the nearby countryside; an adaptation of a Maupassant short story.,"Montigny-sur-Loing, Ile de France, France",,,drama; social realism; ,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Showboat,34.14070294,-118.3474432,Whale,1936,Adaptation of a Broadway musical: story of performers on a Mississippi river boat.,Universal Studios Backlot,,,romantic comedy; musical,,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
La Femme du bout du monde,48.46077326,-5.091750978,Epstein,1938,"Looking for a radium ore in Antartic Ocean, the crew instead finds a Breton woman and a series of murders and suicides. ","Ouessant, Brittany, France",,https://archive.org/details/la-femme-du-bout-du-monde-epstein,French impressionism; photogenie; ,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
The River,,,Lorentz,1938,A depression-era documentary about the Mississippi River and the problems created by farming and timber practices in the region,Mississippi River,,https://www.loc.gov/item/2007640253/,documentary,,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Undersea Fantasy,41.94888052,12.07733152,Rossellini,1940,Fish in love,"Ladispoli, Rome, Italy",,,Documentary; animal; ,,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Remorques,48.38652936,-4.48654189,Gremillon,1941,An ordinary and content tugboat captain finds himself in a volatile romantic situation. The film was shot on location in Brest and at the Billancourt Studios in Paris. ,"Brest, Brittany, France",,,drama; ,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Moods of the Sea,56.43136424,-6.341450175,Hoffman and Vorkapic,1941,An experimental film set to Mendelssohn's music and portraying the ocean.,"Fingal's Cave, Inner Hebrides, Scotland",,https://www.youtube.com/watch?v=wlbAoGSslAQ,documentary; avant-garde; experimental,,Music,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Swamp Water,31.05680319,-82.27216607,Renoir,1941,A man encounters a fugitive and his daughter while hunting in the Okefenokee Swamp. ,"Okefenokee Swamp, Georgia, USA",,https://www.youtube.com/watch?v=nHyX-Y8fLog,noir; crime; ,,English,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Ornamental Hairpin,34.9,138.95,Shimizu,1941,A quiet comedy / drama about a group of people at a spa where a potential romance begins.  ,"rural Japan, possibly somewhere in the Izu Peninsula",,,comedy; drama,,Japanese,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Under the Bridges,52.45821152,13.18111024,Kautner,1945,A story about two Havel boatsmen and their romances. The film was shot in 1944 but was not released until after the fall of Nazi Germany. ,"Berlin, Germany",,,drama,,German,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
At Land,40.96826348,-72.12613626,Deren,1946,An experimental short film about exploring your inner world and finding your identity,"Amagasett, Long Island, New York, USA ",,https://www.youtube.com/watch?v=EvafmE3Lel0,experimental; avant-garde; ,,Music,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
People of the Po Valley,44.88852965,11.61296572,Antonioni,1947,A short documentary on the people of the Po Valley follows a barge trip down the Po river. The film was shot near Ferrara. ,"Ferrara, Italy",,https://www.youtube.com/watch?v=ixccmJ5j_oY,documentary,,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Le Tempestaire,47.36144821,-3.192819155,Epstein,1947,"Le Tempestaire, or the ""storm-tamer,"" tells the story of a woman who visits the local storm-tamer to ensure the safety of her lover who is out at sea. The film manipulates time by slowing down and reversing its images of the stormy seas.","Belle-ile, Brittany, France",,https://www.cinematheque.fr/henri/film/48399-le-tempestaire-jean-epstein-1947/,French impressionism; photogénie; experimental,"HENRI - Cinematheque Francaise, https://www.cinematheque.fr/henri/",French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Les Feux de la mer,48.46077326,-5.091750978,Epstein,1948,"Epstein's documentary about lighthouses and lighthouse keepers; last of the Breton films, it was commissioned by the United Nations. ","Ouessant, Brittany, France",,https://m.ok.ru/video/5983632296531,documentary,,French,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
La Terra Trema,37.56131503,15.15791573,Visconti,1948,"A five-part film that tells the stories of Sicilian fishermen and their struggles, it's considered a key neorealist film and exhibits many characteristics such as the non-professional actors. ","Aci Trezza, Catania, Italy",,,neorealism; non-professional cast; ,,Italian,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
Late Spring,35.32277521,139.5353139,Ozu,1949,"A film about a father and his widowed daughter. Set in the coastal town of Kamakura, south of Tokyo, the film was primarily shot in Kamakura and Chigasaki. ","Kamakura, Kanagawa, Japan",,https://www.youtube.com/watch?v=g_Czx6qdKJo,shomingeki,,Japanese,Non-commercial use,http://rightsstatements.org/vocab/InC-NC/1.0/
